                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7509,                0.80137,                0.97483,                 1.9809,             0.00023626,             0.00023626,             0.00023626
                      2,                0.58271,                0.97208,                0.99954,                 1.8207,             0.00047192,             0.00047192,             0.00047192
                      3,                0.32927,                0.96476,                      1,                 1.8076,             0.00070521,             0.00070521,             0.00070521
                      4,                0.23802,                0.99359,                      1,                 1.7752,              0.0007034,              0.0007034,              0.0007034
                      5,                0.21552,                0.99588,                      1,                 1.7669,             0.00069986,             0.00069986,             0.00069986
                      6,                0.21278,                0.99588,                      1,                 1.7667,             0.00069633,             0.00069633,             0.00069633
                      7,                0.15817,                0.99359,                      1,                 1.7668,             0.00069279,             0.00069279,             0.00069279
                      8,                0.17005,                 0.9881,                      1,                 1.7767,             0.00068926,             0.00068926,             0.00068926
                      9,                0.15177,                0.99588,                      1,                  1.765,             0.00068573,             0.00068573,             0.00068573
                     10,                0.12039,                0.99771,                      1,                 1.7611,             0.00068219,             0.00068219,             0.00068219
                     11,                0.13374,                0.99314,                      1,                  1.764,             0.00067866,             0.00067866,             0.00067866
                     12,                 0.1193,                0.99725,                      1,                 1.7593,             0.00067512,             0.00067512,             0.00067512
                     13,                0.12958,                      1,                      1,                 1.7576,             0.00067159,             0.00067159,             0.00067159
                     14,                  0.103,                0.99817,                      1,                 1.7572,             0.00066805,             0.00066805,             0.00066805
                     15,                0.08905,                0.99908,                      1,                 1.7572,             0.00066452,             0.00066452,             0.00066452
                     16,                0.08441,                0.99954,                      1,                 1.7566,             0.00066099,             0.00066099,             0.00066099
                     17,                0.10756,                0.99771,                      1,                 1.7603,             0.00065745,             0.00065745,             0.00065745
                     18,                0.09393,                0.99908,                      1,                 1.7582,             0.00065392,             0.00065392,             0.00065392
                     19,                0.07682,                0.99908,                      1,                 1.7575,             0.00065038,             0.00065038,             0.00065038
                     20,                0.07923,                0.99725,                      1,                 1.7594,             0.00064685,             0.00064685,             0.00064685
                     21,                0.08987,                0.99954,                      1,                 1.7566,             0.00064331,             0.00064331,             0.00064331
                     22,                 0.0866,                0.99863,                      1,                 1.7584,             0.00063978,             0.00063978,             0.00063978
                     23,                0.08062,                0.99634,                      1,                 1.7611,             0.00063625,             0.00063625,             0.00063625
                     24,                0.06396,                0.99954,                      1,                  1.756,             0.00063271,             0.00063271,             0.00063271
                     25,                0.05897,                0.99817,                      1,                 1.7584,             0.00062918,             0.00062918,             0.00062918
                     26,                 0.0666,                0.99863,                      1,                  1.758,             0.00062564,             0.00062564,             0.00062564
                     27,                0.06262,                0.99908,                      1,                 1.7564,             0.00062211,             0.00062211,             0.00062211
                     28,                0.05803,                0.99908,                      1,                 1.7556,             0.00061857,             0.00061857,             0.00061857
                     29,                0.07923,                0.99954,                      1,                  1.756,             0.00061504,             0.00061504,             0.00061504
                     30,                0.07156,                0.99954,                      1,                  1.756,             0.00061151,             0.00061151,             0.00061151
                     31,                0.06044,                0.99863,                      1,                 1.7573,             0.00060797,             0.00060797,             0.00060797
                     32,                0.05484,                      1,                      1,                 1.7552,             0.00060444,             0.00060444,             0.00060444
                     33,                0.06206,                0.99771,                      1,                 1.7574,              0.0006009,              0.0006009,              0.0006009
                     34,                0.05786,                0.99908,                      1,                 1.7571,             0.00059737,             0.00059737,             0.00059737
                     35,                0.06081,                      1,                      1,                 1.7554,             0.00059383,             0.00059383,             0.00059383
                     36,                0.06079,                0.99954,                      1,                  1.756,              0.0005903,              0.0005903,              0.0005903
                     37,                0.06117,                0.99954,                      1,                  1.756,             0.00058677,             0.00058677,             0.00058677
                     38,                 0.0581,                0.99817,                      1,                 1.7573,             0.00058323,             0.00058323,             0.00058323
                     39,                0.05056,                0.99863,                      1,                 1.7567,              0.0005797,              0.0005797,              0.0005797
                     40,                0.05453,                      1,                      1,                 1.7555,             0.00057616,             0.00057616,             0.00057616
                     41,                0.04542,                0.99908,                      1,                  1.757,             0.00057263,             0.00057263,             0.00057263
                     42,                0.05581,                0.99954,                      1,                 1.7557,             0.00056909,             0.00056909,             0.00056909
                     43,                0.03462,                0.99863,                      1,                 1.7566,             0.00056556,             0.00056556,             0.00056556
                     44,                0.05067,                      1,                      1,                 1.7561,             0.00056203,             0.00056203,             0.00056203
                     45,                0.04733,                0.99954,                      1,                 1.7557,             0.00055849,             0.00055849,             0.00055849
                     46,                0.05926,                0.99908,                      1,                 1.7561,             0.00055496,             0.00055496,             0.00055496
                     47,                0.05126,                0.99908,                      1,                 1.7564,             0.00055142,             0.00055142,             0.00055142
                     48,                0.05326,                0.99954,                      1,                 1.7557,             0.00054789,             0.00054789,             0.00054789
                     49,                0.04448,                0.99863,                      1,                 1.7566,             0.00054435,             0.00054435,             0.00054435
