                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.81896,                0.96337,                0.99979,                 1.7499,              0.0033277,              0.0033277,              0.0033277
                      2,                 0.2456,                0.97406,                0.99958,                 1.7208,              0.0066281,              0.0066281,              0.0066281
                      3,                0.22726,                0.95469,                0.99926,                 1.7426,              0.0098954,              0.0098954,              0.0098954
                      4,                0.25729,                0.97809,                      1,                 1.7196,              0.0098515,              0.0098515,              0.0098515
                      5,                0.18397,                0.97523,                0.99968,                  1.717,               0.009802,               0.009802,               0.009802
                      6,                 0.1621,                 0.9837,                0.99989,                 1.7091,              0.0097525,              0.0097525,              0.0097525
                      7,                0.12342,                0.99164,                0.99989,                 1.7007,               0.009703,               0.009703,               0.009703
                      8,                0.10965,                0.99344,                      1,                 1.6986,              0.0096535,              0.0096535,              0.0096535
                      9,                0.10301,                0.99015,                      1,                 1.7021,               0.009604,               0.009604,               0.009604
                     10,                0.09482,                0.99312,                      1,                 1.6996,              0.0095545,              0.0095545,              0.0095545
                     11,                0.08388,                0.99471,                      1,                 1.6975,               0.009505,               0.009505,               0.009505
                     12,                 0.0842,                0.99577,                      1,                 1.6975,              0.0094555,              0.0094555,              0.0094555
                     13,                0.08923,                0.99577,                      1,                 1.6965,               0.009406,               0.009406,               0.009406
                     14,                0.07538,                0.99513,                      1,                 1.6969,              0.0093565,              0.0093565,              0.0093565
                     15,                0.06763,                0.99746,                      1,                  1.694,               0.009307,               0.009307,               0.009307
                     16,                0.05941,                0.99577,                      1,                 1.6947,              0.0092575,              0.0092575,              0.0092575
                     17,                0.06697,                0.99682,                      1,                  1.694,               0.009208,               0.009208,               0.009208
                     18,                0.05818,                0.99492,                      1,                 1.6949,              0.0091585,              0.0091585,              0.0091585
                     19,                0.06047,                0.99672,                      1,                 1.6947,               0.009109,               0.009109,               0.009109
                     20,                0.06429,                0.99682,                      1,                  1.694,              0.0090595,              0.0090595,              0.0090595
                     21,                0.05873,                 0.9945,                      1,                 1.6956,                0.00901,                0.00901,                0.00901
                     22,                 0.0598,                0.99809,                      1,                 1.6928,              0.0089605,              0.0089605,              0.0089605
                     23,                0.05243,                0.99799,                      1,                 1.6928,               0.008911,               0.008911,               0.008911
                     24,                  0.045,                0.99926,                      1,                 1.6913,              0.0088615,              0.0088615,              0.0088615
                     25,                0.04628,                0.99873,                      1,                  1.692,               0.008812,               0.008812,               0.008812
                     26,                 0.0564,                0.99725,                      1,                 1.6933,              0.0087625,              0.0087625,              0.0087625
                     27,                0.04402,                0.99799,                      1,                 1.6922,               0.008713,               0.008713,               0.008713
                     28,                0.04724,                0.99915,                      1,                 1.6918,              0.0086635,              0.0086635,              0.0086635
                     29,                0.04523,                0.99809,                      1,                 1.6921,               0.008614,               0.008614,               0.008614
                     30,                0.04723,                0.99746,                      1,                 1.6929,              0.0085645,              0.0085645,              0.0085645
                     31,                0.05053,                0.99884,                      1,                 1.6911,               0.008515,               0.008515,               0.008515
                     32,                0.05541,                0.99799,                      1,                 1.6922,              0.0084655,              0.0084655,              0.0084655
                     33,                0.04724,                0.99873,                      1,                 1.6912,               0.008416,               0.008416,               0.008416
                     34,                0.04953,                0.99862,                      1,                 1.6912,              0.0083665,              0.0083665,              0.0083665
                     35,                0.04744,                0.99926,                      1,                  1.691,               0.008317,               0.008317,               0.008317
                     36,                0.04654,                0.99862,                      1,                  1.692,              0.0082675,              0.0082675,              0.0082675
                     37,                0.04914,                0.99831,                      1,                 1.6916,               0.008218,               0.008218,               0.008218
                     38,                0.04247,                0.99968,                      1,                  1.691,              0.0081685,              0.0081685,              0.0081685
                     39,                0.04484,                0.99905,                      1,                 1.6912,               0.008119,               0.008119,               0.008119
                     40,                0.04466,                0.99915,                      1,                 1.6909,              0.0080695,              0.0080695,              0.0080695
                     41,                0.04193,                0.99915,                      1,                 1.6911,                0.00802,                0.00802,                0.00802
                     42,                0.04366,                0.99947,                      1,                 1.6908,              0.0079705,              0.0079705,              0.0079705
                     43,                0.03703,                0.99958,                      1,                 1.6908,               0.007921,               0.007921,               0.007921
                     44,                0.03951,                0.99958,                      1,                 1.6903,              0.0078715,              0.0078715,              0.0078715
                     45,                0.03454,                0.99979,                      1,                 1.6902,               0.007822,               0.007822,               0.007822
                     46,                0.04409,                0.99947,                      1,                 1.6906,              0.0077725,              0.0077725,              0.0077725
